venue,innings,batting_team,bowling_team,striker,bowler,total_runs
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"['Q de Kock', 'KP Pietersen', 'M Vijay', 'MA Agarwal']","['M Muralitharan', 'MA Starc', 'AN Ahmed', 'YS Chahal']",44
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,"['AJ Finch', 'S Dhawan']","['MG Johnson', 'Sandeep Sharma']",48
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,"['WP Saha', 'M Vohra', 'V Sehwag']","['MC Henriques', 'KV Sharma', 'B Kumar', 'DW Steyn']",86
Barabati Stadium,1,Mumbai Indians,Kolkata Knight Riders,"['LMP Simmons', 'RG Sharma', 'AT Rayudu', 'CM Gautam']","['M Morkel', 'SP Narine', 'Shakib Al Hasan', 'UT Yadav']",31
Barabati Stadium,2,Kolkata Knight Riders,Mumbai Indians,"['RV Uthappa', 'G Gambhir']","['SL Malinga', 'JJ Bumrah', 'Harbhajan Singh', 'PP Ojha']",44
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,"['KK Nair', 'AM Rahane', 'KK Cooper']","['JP Duminy', 'R Shukla', 'S Kaul', 'S Nadeem']",52
"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,"['KD Karthik', 'JP Duminy', 'MA Agarwal', 'KP Pietersen']","['JP Faulkner', 'DS Kulkarni', 'BCJ Cutting', 'KK Cooper']",33
JSCA International Stadium Complex,1,Chennai Super Kings,Royal Challengers Bangalore,"['BB McCullum', 'DJ Hussey', 'SK Raina', 'DR Smith']","['M Muralitharan', 'AN Ahmed', 'MA Starc', 'VR Aaron']",39
JSCA International Stadium Complex,2,Royal Challengers Bangalore,Chennai Super Kings,"['PA Patel', 'V Kohli', 'CH Gayle']","['MM Sharma', 'S Badree', 'R Ashwin']",17
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"['AJ Finch', 'S Dhawan', 'NV Ojha']","['M Morkel', 'SP Narine', 'UT Yadav']",36
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['KV Sharma', 'DJG Sammy', 'B Kumar', 'DW Steyn']",30
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,"['LMP Simmons', 'MEK Hussey']","['Ankit Sharma', 'DS Kulkarni', 'JP Faulkner', 'KK Cooper']",41
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,"['SV Samson', 'SR Watson', 'KK Nair', 'UBT Chand']","['JJ Bumrah', 'K Santokie', 'KA Pollard', 'PP Ojha']",40
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"['KD Karthik', 'M Vijay', 'KP Pietersen']","['BE Hendricks', 'AR Patel', 'Sandeep Sharma']",53
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"['M Vohra', 'V Sehwag']","['JD Unadkat', 'Mohammed Shami', 'WD Parnell']",61
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,"['PA Patel', 'V Kohli', 'CH Gayle', 'Yuvraj Singh']","['KV Sharma', 'B Kumar', 'Parvez Rasool', 'DW Steyn']",25
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,"['DA Warner', 'S Dhawan']","['M Muralitharan', 'AN Ahmed', 'MA Starc', 'VR Aaron']",47
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"['BB McCullum', 'SK Raina', 'DR Smith']","['SP Narine', 'Shakib Al Hasan', 'UT Yadav', 'PJ Cummins']",31
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"['RV Uthappa', 'G Gambhir']","['MM Sharma', 'IC Pandey', 'BW Hilfenhaus', 'R Ashwin']",51
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"['SE Marsh', 'M Vohra', 'V Sehwag']","['JJ Bumrah', 'K Santokie', 'P Kumar', 'PP Ojha']",42
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"['LMP Simmons', 'MEK Hussey']","['BE Hendricks', 'AR Patel', 'R Dhawan', 'Sandeep Sharma']",56
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['RV Uthappa', 'MK Pandey', 'YK Pathan', 'G Gambhir']","['AB Dinda', 'MA Starc', 'M Muralitharan', 'AN Ahmed']",41
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['V Kohli', 'CH Gayle', 'YV Takawale']","['M Morkel', 'SP Narine', 'UT Yadav']",36
JSCA International Stadium Complex,1,Chennai Super Kings,Sunrisers Hyderabad,"['F du Plessis', 'SK Raina', 'DR Smith']","['KV Sharma', 'B Kumar', 'Parvez Rasool', 'DW Steyn']",60
JSCA International Stadium Complex,2,Sunrisers Hyderabad,Chennai Super Kings,"['DA Warner', 'S Dhawan']","['MM Sharma', 'JW Hastings', 'R Ashwin']",60
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"['LMP Simmons', 'MEK Hussey']","['JD Unadkat', 'WD Parnell', 'S Kaul', 'S Nadeem']",61
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"['KD Karthik', 'M Vijay', 'KP Pietersen']","['JJ Bumrah', 'PP Ojha', 'S Gopal', 'M de Lange']",47
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,"['SE Marsh', 'M Vohra', 'V Sehwag']","['SR Watson', 'JP Faulkner', 'VS Malik', 'KK Cooper']",47
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"['SV Samson', 'KK Nair', 'AM Rahane']","['BE Hendricks', 'L Balaji', 'AR Patel', 'R Dhawan']",43
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"['VH Zol', 'V Kohli', 'RR Rossouw', 'Yuvraj Singh', 'YV Takawale']","['A Nehra', 'S Badree', 'MM Sharma', 'R Ashwin']",34
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"['F du Plessis', 'SK Raina', 'DR Smith']","['SB Jakati', 'MA Starc', 'R Rampaul']",58
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"['DA Warner', 'S Dhawan', 'NV Ojha']","['M Morkel', 'SP Narine', 'R Vinay Kumar']",45
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['JO Holder', 'B Kumar', 'DW Steyn']",49
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,"['KD Karthik', 'KM Jadhav', 'MA Agarwal', 'KP Pietersen']","['P Awana', 'AR Patel', 'MG Johnson']",44
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,"['DA Miller', 'GJ Maxwell', 'M Vohra', 'V Sehwag']","['JD Unadkat', 'Mohammed Shami', 'JDS Neesham']",42
Wankhede Stadium,1,Rajasthan Royals,Mumbai Indians,"['SR Watson', 'SV Samson']","['JJ Bumrah', 'CJ Anderson', 'Harbhajan Singh', 'PP Ojha']",34
Wankhede Stadium,2,Mumbai Indians,Rajasthan Royals,"['KA Pollard', 'LMP Simmons', 'CJ Anderson', 'MEK Hussey', 'RG Sharma']","['DS Kulkarni', 'SR Watson', 'JP Faulkner', 'KK Cooper']",68
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['P Awana', 'AR Patel', 'MG Johnson', 'R Dhawan']",55
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"['WP Saha', 'M Vohra', 'V Sehwag']","['M Morkel', 'SP Narine', 'Shakib Al Hasan', 'UT Yadav']",46
Brabourne Stadium,1,Mumbai Indians,Chennai Super Kings,"['LMP Simmons', 'MEK Hussey']","['A Nehra', 'IC Pandey', 'MM Sharma']",53
Brabourne Stadium,2,Chennai Super Kings,Mumbai Indians,"['F du Plessis', 'DR Smith']","['JJ Bumrah', 'CJ Anderson', 'P Kumar']",60
Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,"['M Vohra', 'V Sehwag']","['A Nehra', 'IC Pandey', 'MM Sharma']",65
Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,"['F du Plessis', 'SK Raina', 'DR Smith']","['P Awana', 'MG Johnson', 'Sandeep Sharma']",90
M Chinnaswamy Stadium,1,Kings XI Punjab,Kolkata Knight Riders,"['WP Saha', 'GJ Bailey', 'M Vohra', 'V Sehwag']","['M Morkel', 'SP Narine', 'UT Yadav']",32
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['P Awana', 'L Balaji', 'MG Johnson']",55
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"['AJ Finch', 'CJ Anderson', 'RG Sharma', 'AT Rayudu', 'AP Tare']","['M Morkel', 'Shakib Al Hasan', 'UT Yadav']",37
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['SL Malinga', 'JJ Bumrah', 'CJ Anderson', 'R Vinay Kumar']",38
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"['F du Plessis', 'BB McCullum', 'SK Raina', 'DR Smith']","['JA Morkel', 'DJ Muthuswami', 'NM Coulter-Nile']",57
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"['JA Morkel', 'MA Agarwal', 'CM Gautam', 'KM Jadhav', 'SS Iyer']","['A Nehra', 'MM Sharma']",36
Maharashtra Cricket Association Stadium,1,Rajasthan Royals,Kings XI Punjab,"['SPD Smith', 'SV Samson', 'KK Nair', 'AM Rahane']","['Anureet Singh', 'AR Patel', 'Sandeep Sharma']",35
Maharashtra Cricket Association Stadium,2,Kings XI Punjab,Rajasthan Royals,"['GJ Maxwell', 'WP Saha', 'M Vijay', 'V Sehwag']","['CH Morris', 'DS Kulkarni', 'TG Southee', 'JP Faulkner']",50
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Sunrisers Hyderabad,"['BB McCullum', 'DR Smith']","['TA Boult', 'KV Sharma', 'B Kumar', 'I Sharma']",45
"MA Chidambaram Stadium, Chepauk",2,Sunrisers Hyderabad,Chennai Super Kings,"['DA Warner', 'S Dhawan', 'KL Rahul']","['A Nehra', 'MM Sharma']",46
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['RV Uthappa', 'G Gambhir']","['HV Patel', 'AN Ahmed', 'VR Aaron', 'SA Abbott']",49
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['KD Karthik', 'V Kohli', 'CH Gayle']","['M Morkel', 'SP Narine', 'KC Cariappa']",41
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"['JP Duminy', 'MA Agarwal', 'SS Iyer']","['DJ Hooda', 'TG Southee', 'PV Tambe', 'CH Morris', 'DS Kulkarni']",50
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,"['SPD Smith', 'SV Samson', 'AM Rahane']","['JD Unadkat', 'NM Coulter-Nile', 'AD Mathews']",42
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"['M Vijay', 'V Sehwag']","['SL Malinga', 'R Vinay Kumar', 'P Suyal']",56
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"['AJ Finch', 'CJ Anderson', 'RG Sharma', 'AT Rayudu', 'AP Tare']","['Anureet Singh', 'MG Johnson', 'Sandeep Sharma']",17
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"['KD Karthik', 'V Kohli', 'CH Gayle']","['TA Boult', 'B Kumar', 'P Kumar']",45
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"['DA Warner', 'S Dhawan']","['HV Patel', 'AN Ahmed', 'VR Aaron', 'SA Abbott']",59
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,"['AJ Finch', 'PA Patel', 'RG Sharma', 'UBT Chand']","['CH Morris', 'STR Binny', 'DS Kulkarni', 'TG Southee']",31
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,"['SPD Smith', 'SV Samson', 'AM Rahane']","['SL Malinga', 'R Vinay Kumar', 'P Suyal']",42
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"['F du Plessis', 'DJ Bravo', 'SK Raina', 'DR Smith', 'BB McCullum', 'MS Dhoni']","['GB Hogg', 'UT Yadav', 'PJ Cummins', 'PP Chawla']",68
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['MM Sharma', 'A Nehra']",36
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,"['WP Saha', 'M Vijay', 'V Sehwag']","['DJ Muthuswami', 'NM Coulter-Nile', 'AD Mathews']",37
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,"['JP Duminy', 'MA Agarwal', 'SS Iyer']","['Anureet Singh', 'MG Johnson', 'Sandeep Sharma']",46
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"['DA Warner', 'S Dhawan', 'EJG Morgan', 'KL Rahul']","['CH Morris', 'DJ Hooda', 'TG Southee', 'DS Kulkarni']",35
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"['SV Samson', 'AM Rahane']","['TA Boult', 'B Kumar', 'P Kumar']",32
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"['LMP Simmons', 'PA Patel', 'CJ Anderson', 'RG Sharma', 'Harbhajan Singh']","['A Nehra', 'IC Pandey', 'MM Sharma']",31
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"['BB McCullum', 'DR Smith']","['SL Malinga', 'J Suchith', 'P Suyal', 'Harbhajan Singh']",81
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"['JP Duminy', 'MA Agarwal', 'SS Iyer']","['DW Steyn', 'B Kumar', 'P Kumar']",37
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"['DA Warner', 'S Dhawan']","['JP Duminy', 'DJ Muthuswami', 'NM Coulter-Nile', 'AD Mathews']",49
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Kolkata Knight Riders,"['M Vijay', 'WP Saha', 'GJ Maxwell', 'V Sehwag', 'GJ Bailey']","['M Morkel', 'AD Russell', 'UT Yadav']",48
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'MK Pandey', 'SA Yadav', 'G Gambhir']","['Anureet Singh', 'MG Johnson', 'Sandeep Sharma']",53
"Sardar Patel Stadium, Motera",1,Chennai Super Kings,Rajasthan Royals,"['F du Plessis', 'BB McCullum', 'SK Raina', 'DR Smith']","['DJ Hooda', 'PV Tambe', 'JP Faulkner', 'CH Morris', 'Ankit Sharma']",39
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Chennai Super Kings,"['SR Watson', 'AM Rahane']","['A Nehra', 'IC Pandey', 'MM Sharma']",47
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"['LMP Simmons', 'PA Patel', 'UBT Chand']","['D Wiese', 'AN Ahmed', 'Iqbal Abdulla', 'VR Aaron']",40
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"['MS Bisla', 'CH Gayle']","['SL Malinga', 'JJ Bumrah', 'MJ McClenaghan', 'Harbhajan Singh']",31
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"['JP Duminy', 'MK Tiwary', 'MA Agarwal', 'SS Iyer']","['M Morkel', 'SP Narine', 'AD Russell', 'UT Yadav']",33
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"['RV Uthappa', 'MK Pandey', 'SA Yadav', 'G Gambhir']","['DJ Muthuswami', 'NM Coulter-Nile', 'AD Mathews']",43
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kings XI Punjab,"['SR Watson', 'AM Rahane']","['Anureet Singh', 'MG Johnson', 'Sandeep Sharma']",42
"Sardar Patel Stadium, Motera",2,Kings XI Punjab,Rajasthan Royals,"['SE Marsh', 'M Vijay', 'V Sehwag']","['CH Morris', 'PV Tambe', 'STR Binny', 'JP Faulkner']",40
"Sardar Patel Stadium, Motera",3,Kings XI Punjab,Rajasthan Royals,"['DA Miller', 'GJ Maxwell', 'SE Marsh']",['CH Morris'],14
"Sardar Patel Stadium, Motera",4,Rajasthan Royals,Kings XI Punjab,"['SPD Smith', 'SR Watson', 'JP Faulkner']",['MG Johnson'],6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"['DA Warner', 'S Dhawan']","['M Morkel', 'J Botha', 'SP Narine']",42
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['B Kumar', 'P Kumar', 'MC Henriques', 'KV Sharma', 'DW Steyn']",48
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"['BB McCullum', 'SK Raina', 'DR Smith']","['HV Patel', 'D Wiese', 'MA Starc', 'YS Chahal']",45
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"['KD Karthik', 'MS Bisla', 'V Kohli', 'RR Rossouw']","['A Nehra', 'IC Pandey', 'MM Sharma']",38
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"['JP Duminy', 'MA Agarwal', 'SS Iyer']","['SL Malinga', 'JJ Bumrah', 'MJ McClenaghan', 'Harbhajan Singh']",43
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"['LMP Simmons', 'PA Patel', 'UBT Chand']","['JP Duminy', 'DJ Muthuswami', 'NM Coulter-Nile', 'AD Mathews']",43
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Royal Challengers Bangalore,"['SPD Smith', 'SR Watson', 'KK Nair', 'AM Rahane']","['HV Patel', 'MA Starc', 'YS Chahal', 'Iqbal Abdulla']",47
"Sardar Patel Stadium, Motera",2,Royal Challengers Bangalore,Rajasthan Royals,"['V Kohli', 'CH Gayle', 'AB de Villiers']","['CH Morris', 'DS Kulkarni', 'SR Watson', 'JP Faulkner']",49
Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"['LMP Simmons', 'PA Patel', 'UBT Chand']","['TA Boult', 'B Kumar', 'DW Steyn']",43
Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"['DA Warner', 'S Dhawan']","['SL Malinga', 'MJ McClenaghan', 'Harbhajan Singh']",52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,"['BB McCullum', 'SK Raina', 'DR Smith']","['Anureet Singh', 'Karanveer Singh', 'MG Johnson', 'Sandeep Sharma']",53
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,"['SE Marsh', 'M Vijay', 'GJ Bailey', 'V Sehwag']","['A Nehra', 'IC Pandey', 'MM Sharma']",39
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"['JP Duminy', 'MA Agarwal', 'Yuvraj Singh', 'SS Iyer']","['HV Patel', 'D Wiese', 'MA Starc', 'VR Aaron']",30
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"['V Kohli', 'CH Gayle']","['JP Duminy', 'DJ Muthuswami', 'NM Coulter-Nile', 'Imran Tahir']",49
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,"['DA Warner', 'S Dhawan', 'GH Vihari']","['Anureet Singh', 'MG Johnson', 'Sandeep Sharma']",56
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,"['SE Marsh', 'M Vijay', 'GJ Bailey', 'M Vohra']","['TA Boult', 'B Kumar', 'P Kumar']",30
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['JP Duminy', 'JA Morkel', 'Z Khan']",48
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"['MK Tiwary', 'SS Iyer']","['AD Russell', 'SP Narine', 'UT Yadav']",35
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"['V Kohli', 'CH Gayle', 'Mandeep Singh', 'AB de Villiers']","['DS Kulkarni', 'TG Southee', 'JP Faulkner', 'SR Watson']",50
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"['BB McCullum', 'SK Raina', 'DR Smith']","['UT Yadav', 'PJ Cummins', 'PP Chawla']",49
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"['RV Uthappa', 'MK Pandey', 'SA Yadav', 'G Gambhir']","['A Nehra', 'IC Pandey', 'MM Sharma', 'R Ashwin']",54
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"['M Vohra', 'WP Saha', 'SE Marsh', 'V Sehwag', 'DA Miller', 'GJ Bailey']","['JP Duminy', 'Z Khan', 'NM Coulter-Nile']",23
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"['MA Agarwal', 'SS Iyer']","['Anureet Singh', 'SN Thakur', 'Sandeep Sharma']",38
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"['LMP Simmons', 'PA Patel', 'UBT Chand']","['DS Kulkarni', 'TG Southee', 'J Theron', 'SR Watson']",45
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"['SR Watson', 'AM Rahane', 'SV Samson']","['SL Malinga', 'J Suchith', 'R Vinay Kumar', 'MJ McClenaghan']",53
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['RV Uthappa', 'AD Russell', 'G Gambhir']","['D Wiese', 'MA Starc', 'HV Patel', 'VR Aaron', 'YS Chahal']",56
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['V Kohli', 'CH Gayle', 'Mandeep Singh', 'AB de Villiers']","['GB Hogg', 'UT Yadav', 'PJ Cummins', 'PP Chawla']",55
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Chennai Super Kings,"['DA Warner', 'S Dhawan']","['MM Sharma', 'A Nehra', 'RG More']",72
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Sunrisers Hyderabad,"['F du Plessis', 'BB McCullum', 'SK Raina', 'DR Smith']","['TA Boult', 'B Kumar', 'P Kumar', 'MC Henriques']",54
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"['LMP Simmons', 'PA Patel']","['Anureet Singh', 'AR Patel', 'MG Johnson', 'Sandeep Sharma']",51
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"['DA Miller', 'GJ Maxwell', 'M Vijay', 'V Sehwag']","['SL Malinga', 'J Suchith', 'R Vinay Kumar', 'MJ McClenaghan']",44
Brabourne Stadium,1,Rajasthan Royals,Delhi Daredevils,"['SR Watson', 'AM Rahane']","['Z Khan', 'GS Sandhu', 'NM Coulter-Nile']",39
Brabourne Stadium,2,Delhi Daredevils,Rajasthan Royals,"['JP Duminy', 'MA Agarwal', 'Yuvraj Singh', 'SS Iyer']","['STR Binny', 'DS Kulkarni', 'TG Southee', 'SR Watson']",44
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"['BB McCullum', 'SK Raina', 'DR Smith']","['D Wiese', 'MA Starc', 'HV Patel', 'YS Chahal']",37
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,"['KD Karthik', 'V Kohli', 'NJ Maddinson', 'AB de Villiers']","['A Nehra', 'IC Pandey', 'MM Sharma']",42
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"['RV Uthappa', 'G Gambhir']","['P Kumar', 'B Kumar', 'DW Steyn', 'MC Henriques']",55
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"['MC Henriques', 'NV Ojha', 'S Dhawan', 'DA Warner', 'EJG Morgan']","['AD Russell', 'J Botha', 'GB Hogg', 'UT Yadav']",33
Wankhede Stadium,1,Delhi Daredevils,Mumbai Indians,"['JP Duminy', 'KM Jadhav', 'MA Agarwal', 'SS Iyer']","['SL Malinga', 'R Vinay Kumar', 'MJ McClenaghan', 'Harbhajan Singh']",44
Wankhede Stadium,2,Mumbai Indians,Delhi Daredevils,"['HH Pandya', 'LMP Simmons', 'PA Patel', 'RG Sharma', 'AT Rayudu', 'Harbhajan Singh']","['Z Khan', 'NM Coulter-Nile', 'AD Mathews']",40
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"['V Kohli', 'CH Gayle']","['Anureet Singh', 'MG Johnson', 'Sandeep Sharma']",62
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"['M Vijay', 'M Vohra', 'WP Saha', 'GJ Maxwell', 'DA Miller', 'GJ Bailey']","['HV Patel', 'MA Starc', 'S Aravind']",29
Brabourne Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"['MC Henriques', 'DA Warner', 'S Dhawan']","['DJ Hooda', 'JP Faulkner', 'SR Watson', 'CH Morris', 'DS Kulkarni']",55
Brabourne Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"['SPD Smith', 'SR Watson', 'KK Nair', 'AM Rahane']","['I Sharma', 'B Kumar', 'P Kumar']",36
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"['BB McCullum', 'SK Raina', 'DR Smith']","['J Suchith', 'R Vinay Kumar', 'MJ McClenaghan', 'M de Lange']",44
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"['LMP Simmons', 'PA Patel']","['MM Sharma', 'A Nehra', 'R Ashwin']",61
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"['M Vijay', 'M Vohra', 'WP Saha']","['AD Russell', 'SP Narine', 'UT Yadav', 'J Botha']",45
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['Anureet Singh', 'BE Hendricks', 'AR Patel', 'Sandeep Sharma']",53
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,"['MC Henriques', 'DA Warner', 'S Dhawan', 'EJG Morgan']","['J Yadav', 'Z Khan', 'NM Coulter-Nile']",36
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,"['JP Duminy', 'Q de Kock', 'SS Iyer']","['I Sharma', 'B Kumar', 'Parvez Rasool', 'P Kumar']",49
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['V Kohli', 'CH Gayle', 'AB de Villiers']","['SL Malinga', 'JJ Bumrah', 'J Suchith', 'MJ McClenaghan']",38
